机器	机型	配方	计划批每tick	计划负载	端口上限	存货端口数	取货端口数	进料各端口	出料各端口	逐机逐物品守恒
M109	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C136:致密蓝铁粉末=1(M126)	C295:钢块=1(M155)	通过
M110	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C137:致密蓝铁粉末=1(M127)	C296:钢块=1(M154)	通过
M111	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C138:致密蓝铁粉末=1(M128)	C297:钢块=1(M153)	通过
M112	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C139:致密蓝铁粉末=1(M129)	C298:钢块=1(M152)	通过
M113	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C140:致密蓝铁粉末=1(M130)	C299:钢块=1(M157)	通过
M114	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C141:致密蓝铁粉末=1(M131)	C300:钢块=1(M158)	通过
M115	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C142:致密蓝铁粉末=1(M132)	C301:钢块=1(M159)	通过
M116	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C143:致密蓝铁粉末=1(M133)	C302:钢块=1(M160)	通过
M117	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C144:致密蓝铁粉末=1(M134)	C303:钢块=1(M161)	通过
M118	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C145:致密蓝铁粉末=1(M135)	C304:钢块=1(M162)	通过
M119	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C146:致密蓝铁粉末=1(M136)	C305:钢块=1(M163)	通过
M120	研磨机	研磨-致密蓝铁	1	1	6	3	1	C079:砂叶粉末=1(M058); C249:蓝铁粉末=1(M018); C282:蓝铁粉末=1(M051)	C130:致密蓝铁粉末=1(M103)	通过
M121	研磨机	研磨-致密蓝铁	1	1	6	3	1	C080:砂叶粉末=1(M058); C250:蓝铁粉末=1(M019); C281:蓝铁粉末=1(M050)	C131:致密蓝铁粉末=1(M104)	通过
M122	研磨机	研磨-致密蓝铁	1	1	6	3	1	C081:砂叶粉末=1(M058); C251:蓝铁粉末=1(M020); C280:蓝铁粉末=1(M049)	C132:致密蓝铁粉末=1(M105)	通过
M123	研磨机	研磨-致密蓝铁	1	1	6	3	1	C082:砂叶粉末=1(M059); C252:蓝铁粉末=1(M021); C279:蓝铁粉末=1(M048)	C133:致密蓝铁粉末=1(M106)	通过
M124	研磨机	研磨-致密蓝铁	1	1	6	3	1	C083:砂叶粉末=1(M059); C253:蓝铁粉末=1(M022); C278:蓝铁粉末=1(M047)	C134:致密蓝铁粉末=1(M107)	通过
M125	研磨机	研磨-致密蓝铁	1	1	6	3	1	C084:砂叶粉末=1(M059); C254:蓝铁粉末=1(M023); C277:蓝铁粉末=1(M046)	C135:致密蓝铁粉末=1(M108)	通过
M126	研磨机	研磨-致密蓝铁	1	1	6	3	1	C085:砂叶粉末=1(M060); C255:蓝铁粉末=1(M024); C276:蓝铁粉末=1(M045)	C136:致密蓝铁粉末=1(M109)	通过
M127	研磨机	研磨-致密蓝铁	1	1	6	3	1	C086:砂叶粉末=1(M060); C256:蓝铁粉末=1(M025); C275:蓝铁粉末=1(M044)	C137:致密蓝铁粉末=1(M110)	通过
M128	研磨机	研磨-致密蓝铁	1	1	6	3	1	C087:砂叶粉末=1(M060); C257:蓝铁粉末=1(M026); C274:蓝铁粉末=1(M043)	C138:致密蓝铁粉末=1(M111)	通过
M129	研磨机	研磨-致密蓝铁	1	1	6	3	1	C088:砂叶粉末=1(M061); C258:蓝铁粉末=1(M027); C273:蓝铁粉末=1(M042)	C139:致密蓝铁粉末=1(M112)	通过
M130	研磨机	研磨-致密蓝铁	1	1	6	3	1	C089:砂叶粉末=1(M061); C259:蓝铁粉末=1(M028); C272:蓝铁粉末=1(M041)	C140:致密蓝铁粉末=1(M113)	通过
M131	研磨机	研磨-致密蓝铁	1	1	6	3	1	C090:砂叶粉末=1(M061); C260:蓝铁粉末=1(M029); C271:蓝铁粉末=1(M040)	C141:致密蓝铁粉末=1(M114)	通过
M132	研磨机	研磨-致密蓝铁	1	1	6	3	1	C091:砂叶粉末=1(M062); C261:蓝铁粉末=1(M030); C270:蓝铁粉末=1(M039)	C142:致密蓝铁粉末=1(M115)	通过
M133	研磨机	研磨-致密蓝铁	1	1	6	3	1	C092:砂叶粉末=1(M062); C262:蓝铁粉末=1(M031); C269:蓝铁粉末=1(M038)	C143:致密蓝铁粉末=1(M116)	通过
M134	研磨机	研磨-致密蓝铁	1	1	6	3	1	C093:砂叶粉末=1(M062); C263:蓝铁粉末=1(M032); C268:蓝铁粉末=1(M037)	C144:致密蓝铁粉末=1(M117)	通过
M135	研磨机	研磨-致密蓝铁	1	1	6	3	1	C094:砂叶粉末=1(M063); C264:蓝铁粉末=1(M033); C267:蓝铁粉末=1(M036)	C145:致密蓝铁粉末=1(M118)	通过
M136	研磨机	研磨-致密蓝铁	1	1	6	3	1	C095:砂叶粉末=1(M063); C265:蓝铁粉末=1(M034); C266:蓝铁粉末=1(M035)	C146:致密蓝铁粉末=1(M119)	通过
M137	研磨机	研磨-致密源石	1	1	6	3	1	C000:源石粉末=1(M000); C017:源石粉末=1(M017); C096:砂叶粉末=1(M063)	C121:致密源石粉末=1(M213)	通过
M138	研磨机	研磨-致密源石	1	1	6	3	1	C001:源石粉末=1(M001); C016:源石粉末=1(M016); C097:砂叶粉末=1(M064)	C122:致密源石粉末=1(M214)	通过
M139	研磨机	研磨-致密源石	1	1	6	3	1	C002:源石粉末=1(M002); C015:源石粉末=1(M015); C098:砂叶粉末=1(M064)	C123:致密源石粉末=1(M215)	通过
M140	研磨机	研磨-致密源石	1	1	6	3	1	C003:源石粉末=1(M003); C014:源石粉末=1(M014); C099:砂叶粉末=1(M064)	C124:致密源石粉末=1(M215)	通过
M141	研磨机	研磨-致密源石	1	1	6	3	1	C004:源石粉末=1(M004); C013:源石粉末=1(M013); C100:砂叶粉末=1(M065)	C125:致密源石粉末=1(M214)	通过
M142	研磨机	研磨-致密源石	1	1	6	3	1	C005:源石粉末=1(M005); C012:源石粉末=1(M012); C101:砂叶粉末=1(M065)	C126:致密源石粉末=1(M213)	通过
M143	研磨机	研磨-致密源石	1	1	6	3	1	C006:源石粉末=1(M006); C011:源石粉末=1(M011); C102:砂叶粉末=1(M065)	C127:致密源石粉末=1(M213)	通过
M144	研磨机	研磨-致密源石	1	1	6	3	1	C007:源石粉末=1(M007); C010:源石粉末=1(M010); C103:砂叶粉末=1(M066)	C128:致密源石粉末=1(M214)	通过
M145	研磨机	研磨-致密源石	1	1	6	3	1	C008:源石粉末=1(M008); C009:源石粉末=1(M009); C104:砂叶粉末=1(M066)	C129:致密源石粉末=1(M215)	通过
M146	研磨机	研磨-细磨荞花	1	1	6	3	1	C105:砂叶粉末=1(M066); C170:荞花粉末=1(M052); C179:荞花粉末=1(M056)	C115:细磨荞花粉末=1(M216)	通过
M147	研磨机	研磨-细磨荞花	1	1	6	3	1	C106:砂叶粉末=1(M067); C171:荞花粉末=1(M052); C178:荞花粉末=1(M056)	C116:细磨荞花粉末=1(M217)	通过
M148	研磨机	研磨-细磨荞花	1	1	6	3	1	C107:砂叶粉末=1(M067); C172:荞花粉末=1(M053); C177:荞花粉末=1(M055)	C117:细磨荞花粉末=1(M218)	通过
M149	研磨机	研磨-细磨荞花	1	1	6	3	1	C108:砂叶粉末=1(M067); C173:荞花粉末=1(M053); C176:荞花粉末=1(M055)	C118:细磨荞花粉末=1(M217)	通过
M150	研磨机	研磨-细磨荞花	1	1	6	4	1	C109:砂叶粉末=1/2(M068); C110:砂叶粉末=1/2(M068); C174:荞花粉末=1(M054); C175:荞花粉末=1(M054)	C119:细磨荞花粉末=1(M216)	通过
M151	研磨机	研磨-细磨荞花	1/2	1/2	6	2	1	C111:砂叶粉末=1/2(M068); C180:荞花粉末=1(M057)	C120:细磨荞花粉末=1/2(M218)	通过
M152	塑形机	塑形-钢质瓶	1	1	3	2	1	C289:钢块=1(M103); C298:钢块=1(M112)	C306:钢质瓶=1(M216)	通过
M153	塑形机	塑形-钢质瓶	1	1	3	2	1	C290:钢块=1(M104); C297:钢块=1(M111)	C307:钢质瓶=1(M217)	通过
M154	塑形机	塑形-钢质瓶	1	1	3	2	1	C291:钢块=1(M105); C296:钢块=1(M110)	C308:钢质瓶=1(M218)	通过
M155	塑形机	塑形-钢质瓶	1	1	3	2	1	C292:钢块=1(M106); C295:钢块=1(M109)	C309:钢质瓶=1(M217)	通过
M156	塑形机	塑形-钢质瓶	1	1	3	2	1	C293:钢块=1(M107); C294:钢块=1(M108)	C310:钢质瓶=1(M216)	通过
M157	塑形机	塑形-钢质瓶	1/2	1/2	3	1	1	C299:钢块=1(M113)	C311:钢质瓶=1/2(M218)	通过
M158	配件机	配件-钢制零件	1	1	3	1	1	C300:钢块=1(M114)	C283:钢制零件=1(M213)	通过
M159	配件机	配件-钢制零件	1	1	3	1	1	C301:钢块=1(M115)	C284:钢制零件=1(M214)	通过
M160	配件机	配件-钢制零件	1	1	3	1	1	C302:钢块=1(M116)	C285:钢制零件=1(M215)	通过
M161	配件机	配件-钢制零件	1	1	3	1	1	C303:钢块=1(M117)	C286:钢制零件=1(M215)	通过
M162	配件机	配件-钢制零件	1	1	3	1	1	C304:钢块=1(M118)	C287:钢制零件=1(M214)	通过
M163	配件机	配件-钢制零件	1	1	3	1	1	C305:钢块=1(M119)	C288:钢制零件=1(M213)	通过
M164	种植机	种植-荞花	1	1	5	1	1	C159:荞花种子=1(M196)	C147:荞花=1(M052)	通过
M165	种植机	种植-荞花	1	1	5	1	1	C160:荞花种子=1(M196)	C148:荞花=1(M053)	通过
M166	种植机	种植-荞花	1	1	5	1	1	C161:荞花种子=1(M197)	C149:荞花=1(M054)	通过
M167	种植机	种植-荞花	1	1	5	1	1	C162:荞花种子=1(M197)	C150:荞花=1(M055)	通过
M168	种植机	种植-荞花	1	1	5	1	1	C163:荞花种子=1(M198)	C151:荞花=1(M056)	通过
M169	种植机	种植-荞花	1	1	5	1	1	C164:荞花种子=1(M198)	C152:荞花=1(M196)	通过
M170	种植机	种植-荞花	1	1	5	1	1	C165:荞花种子=1(M199)	C153:荞花=1(M197)	通过
M171	种植机	种植-荞花	1	1	5	1	1	C166:荞花种子=1(M199)	C154:荞花=1(M198)	通过
M172	种植机	种植-荞花	1	1	5	1	1	C167:荞花种子=1(M200)	C155:荞花=1(M199)	通过
M173	种植机	种植-荞花	1	1	5	1	1	C168:荞花种子=1(M200)	C156:荞花=1(M200)	通过
M174	种植机	种植-荞花	1	1	5	1	2	C169:荞花种子=1(M201)	C157:荞花=1/2(M057); C158:荞花=1/2(M201)	通过
M175	种植机	种植-砂叶	1	1	5	1	1	C058:砂叶种子=1(M202)	C036:砂叶=1(M058)	通过
M176	种植机	种植-砂叶	1	1	5	1	1	C059:砂叶种子=1(M202)	C037:砂叶=1(M059)	通过
M177	种植机	种植-砂叶	1	1	5	1	1	C060:砂叶种子=1(M203)	C038:砂叶=1(M060)	通过
M178	种植机	种植-砂叶	1	1	5	1	1	C061:砂叶种子=1(M203)	C039:砂叶=1(M061)	通过
M179	种植机	种植-砂叶	1	1	5	1	1	C062:砂叶种子=1(M204)	C040:砂叶=1(M062)	通过
M180	种植机	种植-砂叶	1	1	5	1	1	C063:砂叶种子=1(M204)	C041:砂叶=1(M063)	通过
M181	种植机	种植-砂叶	1	1	5	1	1	C064:砂叶种子=1(M205)	C042:砂叶=1(M064)	通过
M182	种植机	种植-砂叶	1	1	5	1	1	C065:砂叶种子=1(M205)	C043:砂叶=1(M065)	通过
M183	种植机	种植-砂叶	1	1	5	1	1	C066:砂叶种子=1(M206)	C044:砂叶=1(M066)	通过
