time,pid,tag,rss_kb,hwm_kb,swap_kb
07:26:55,237435,batch_c_probe_3_,13276452,14845292,0
07:26:56,237435,batch_c_probe_3_,13133832,14845292,0
07:26:57,237435,batch_c_probe_3_,13516076,14845292,0
07:26:58,237435,batch_c_probe_3_,13856268,14845292,0
07:26:59,237435,batch_c_probe_3_,15084648,15108060,0
07:27:00,237435,batch_c_probe_3_,15084648,15108060,0
07:27:01,237435,batch_c_probe_3_,15124004,15124004,0
07:27:02,237435,batch_c_probe_3_,15259244,15371212,0
07:27:03,237435,batch_c_probe_3_,15427032,15641796,0
07:27:04,237435,batch_c_probe_3_,15587280,15641796,0
07:27:05,237435,batch_c_probe_3_,14037452,15700328,0
07:27:06,237435,batch_c_probe_3_,14605280,15700328,0
07:27:07,237435,batch_c_probe_3_,15905700,15905700,0
07:27:08,237435,batch_c_probe_3_,15221996,16154692,0
07:27:09,237435,batch_c_probe_3_,15745836,16154692,0
07:27:10,237435,batch_c_probe_3_,16713260,16744436,0
07:27:11,237435,batch_c_probe_3_,17333048,17377760,0
07:27:12,237435,batch_c_probe_3_,17812120,17812120,0
07:27:13,237435,batch_c_probe_3_,18444808,18444808,0
07:27:14,237435,batch_c_probe_3_,18620076,18620076,0
07:27:15,237435,batch_c_probe_3_,18768600,18781608,0
07:27:16,237435,batch_c_probe_3_,18711620,19004192,0
07:27:17,237435,batch_c_probe_3_,18845264,19004192,0
07:27:18,237435,batch_c_probe_3_,15821784,19004192,0
07:27:19,237435,batch_c_probe_3_,15821784,19004192,0
07:27:20,237435,batch_c_probe_3_,15821784,19004192,0
07:27:21,237435,batch_c_probe_3_,15821880,19004192,0
07:27:22,237435,batch_c_probe_3_,15821880,19004192,0
07:27:23,237435,batch_c_probe_3_,15821880,19004192,0
07:27:24,237435,batch_c_probe_3_,15821880,19004192,0
07:27:25,237435,batch_c_probe_3_,15821880,19004192,0
07:27:26,237435,batch_c_probe_3_,15821880,19004192,0
07:27:27,237435,batch_c_probe_3_,15821880,19004192,0
07:27:28,237435,batch_c_probe_3_,15822620,19004192,0
07:27:29,237435,batch_c_probe_3_,15822940,19004192,0
07:27:30,237435,batch_c_probe_3_,15822940,19004192,0
07:27:31,237435,batch_c_probe_3_,15822940,19004192,0
07:27:32,237435,batch_c_probe_3_,15823804,19004192,0
07:27:33,237435,batch_c_probe_3_,15828112,19004192,0
07:27:34,237435,batch_c_probe_3_,15839784,19004192,0
07:27:35,237435,batch_c_probe_3_,15839792,19004192,0
07:27:36,237435,batch_c_probe_3_,15839792,19004192,0
07:27:37,237435,batch_c_probe_3_,15839792,19004192,0
07:27:38,237435,batch_c_probe_3_,15839792,19004192,0
07:27:39,237435,batch_c_probe_3_,15839792,19004192,0
07:27:40,237435,batch_c_probe_3_,15839792,19004192,0
07:27:41,237435,batch_c_probe_3_,15839792,19004192,0
07:27:42,237435,batch_c_probe_3_,15839792,19004192,0
07:27:43,237435,batch_c_probe_3_,15839792,19004192,0
07:27:44,237435,batch_c_probe_3_,15839792,19004192,0
07:27:45,237435,batch_c_probe_3_,15839792,19004192,0
07:27:46,237435,batch_c_probe_3_,15839792,19004192,0
07:27:47,237435,batch_c_probe_3_,15839792,19004192,0
